Option,Group,GroupName
rel. Luftfeuchte (HECA) komora,1654,rel. Luftfeuchte (HECA)
rel. Luftfeuchte (HECA) wilgotność,1654,rel. Luftfeuchte (HECA)
rel. Luftfeuchte (HECA),1654,rel. Luftfeuchte (HECA)
rel.Feuchte,1651,Rel. Feuchte
Rel. Feuchte,1651,Rel. Feuchte
rel Humidity,1645,rel Humidity
Rel. Humidity,1645,rel Humidity
rel. humidity,1645,rel Humidity
REL. HUMIDITY,1645,rel Humidity
Rel.Humidity,1645,rel Humidity
rel. Humidity,1645,rel Humidity
Rain 1h,1643,Rain (1h)
Rain (1h),1643,Rain (1h)
Radiation - µSv/h - Micro sievert / hour,1641,Radiation - µSv/h - Error of micro sievert / hour
Radiation - µSv/h - Error of micro sievert / hour,1641,Radiation - µSv/h - Error of micro sievert / hour
RADIATION,1638,Radiation
Radiation,1638,Radiation
radiation,1638,Radiation
PV Power,1636,PV Power
PV-Power,1636,PV Power
Presure,1633,Presure
presure,1633,Presure
Pressão atmosférica,1631,Pressão atmosférica
Pressão Atmosférica,1631,Pressão atmosférica
Power Supply,1628,Power Supply
Power supply,1628,Power Supply
power supply,1628,Power Supply
Power,1626,Power
power,1626,Power
PM4.0,1624,PM4
PM4,1624,PM4
PM25,1622,PM25
pm25,1622,PM25
PM2.5 minimal (im Sende-Intervall),1619,PM10 minimal (im Sende-Intervall)
PM10 minimal (im Sende-Intervall),1619,PM10 minimal (im Sende-Intervall)
PM10 maximal (im Sende-Intervall),1617,PM10 maximal (im Sende-Intervall)
PM2.5 maximal (im Sende-Intervall),1617,PM10 maximal (im Sende-Intervall)
pm01,1613,PM01
PM01,1613,PM01
Pm01,1613,PM01
PM0,1610,PM0
pm0.5,1610,PM0
PM0.1,1610,PM0
pm 2.5,1603,PM
PM 4,1603,PM
PM 2.5,1603,PM
PM 1,1603,PM
PM 10,1603,PM
PM 4.0,1603,PM
PM 1.0,1603,PM
pluie,1601,Pluie
Pluie,1601,Pluie
Temperatur / Temperatura HECA,1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur (temperatura),1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur (Temperatura),1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur / Temperatura,1596,Phenomenon: Temperatur - Temperatura HECA
Phenomenon: Temperatur - Temperatura HECA,1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur  / Temperatura HECA,1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur | Temperatura,1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur (Temperatura HECA),1596,Phenomenon: Temperatur - Temperatura HECA
Temperatur Temperatura HECA,1596,Phenomenon: Temperatur - Temperatura HECA
rel. Luftfeuchte (Wilgotność HECA),1592,Phenomenon: rel. Luftfeuchte - Wilgotność HECA
rel. Luftfeuchte / Wilgotność HECA,1592,Phenomenon: rel. Luftfeuchte - Wilgotność HECA
Phenomenon: rel. Luftfeuchte - Wilgotność HECA,1592,Phenomenon: rel. Luftfeuchte - Wilgotność HECA
rel. Luftfeuchte Wilgotność HECA,1592,Phenomenon: rel. Luftfeuchte - Wilgotność HECA
ph Wert 9b,1587,ph Wert 9b
pH-Wert,1587,ph Wert 9b
PH-Wert,1587,ph Wert 9b
pH-Wert (Hochbeet),1587,ph Wert 9b
People,1585,People
people,1585,People
Paxcounter,1583,Paxcounter
PaxCounter,1583,Paxcounter
PAX,1581,PAX
pax,1581,PAX
Particulate Matter <2.5µm concentration,1579,Particulate Matter 2.5µm
Particulate Matter 2.5µm,1579,Particulate Matter 2.5µm
particulate matter 10,1571,particulate matter
Particulate matter 10,1571,particulate matter
Particulate Matter 10,1571,particulate matter
particulate matter,1571,particulate matter
Particulate matter 2.5,1571,particulate matter
Particulate Matter 2.5,1571,particulate matter
particulate matter 2.5,1571,particulate matter
Particulate Matter 1.0,1571,particulate matter
Particulas de Poeira - PM2.5,1569,Particulas de Poeira - PM10
Particulas de Poeira - PM10,1569,Particulas de Poeira - PM10
Particular Matter 2.5,1567,Particular Matter
Particular Matter 10,1567,Particular Matter
Particle 10,1565,Particle
"Particle 2,5",1565,Particle
Particals PM 0.5,1561,Particals PM 0.5
Particals PM 2.5,1561,Particals PM 0.5
Particals PM 4.0,1561,Particals PM 0.5
Particals PM 1.0,1561,Particals PM 0.5
Number of Counted Birds – all,1558,Number of Counted Birds
Number of Counted Birds – None,1558,Number of Counted Birds
Number of Counted Birds,1558,Number of Counted Birds
NOx Index,1556,NOx Index
NOx index,1556,NOx Index
Niederschlag heute,1553,Niederschlag Heute
Niederschlag Heute,1553,Niederschlag Heute
Niederschlag (letztes Event),1551,Niederschlag (letztes Event Akkumuliert)
Niederschlag (letztes Event Akkumuliert),1551,Niederschlag (letztes Event Akkumuliert)
Niederschlag 2,1546,Niederschlag
Niederschlag A,1546,Niederschlag
Niederschlag 1,1546,Niederschlag
Niederschlag B,1546,Niederschlag
Niederschlag,1546,Niederschlag
nh3,1544,NH3
NH3,1544,NH3
NC4.0,1541,NC4
nc4.0,1541,NC4
NC4,1541,NC4
NC2.5,1539,nc2.5
nc2.5,1539,nc2.5
nc1.0,1536,NC1
NC1,1536,NC1
NC1.0,1536,NC1
nc0.5,1534,nc0.5
NC0.5,1534,nc0.5
Minimum Umgebungslautstärke,1532,Minimum Umgebungslautstärke
Minimum Umgebungslautstärke (LAmin),1532,Minimum Umgebungslautstärke
NO2 - Nitrogen Dioxide,1530,MiCS6814 - NO2 - Nitrogen dioxide
MiCS6814 - NO2 - Nitrogen dioxide,1530,MiCS6814 - NO2 - Nitrogen dioxide
Nitrogen dioxide - NO2,1530,MiCS6814 - NO2 - Nitrogen dioxide
MiCS6814 - NH3 - Ammonia,1528,MiCS6814 - NH3 - Ammonia
NH3 - Ammonia,1528,MiCS6814 - NH3 - Ammonia
minimale UV-Intensität (im Sende-Intervall),1524,maximale UV-Intensität (im Sende-Intervall)
minimale UV-Intensität (im Sendeintervall),1524,maximale UV-Intensität (im Sende-Intervall)
maximale UV-Intensität (im Sendeintervall),1524,maximale UV-Intensität (im Sende-Intervall)
maximale UV-Intensität (im Sende-Intervall),1524,maximale UV-Intensität (im Sende-Intervall)
minimale Temperatur (im Sende-Intervall),1522,maximale Temperatur (im Sende-Intervall)
maximale Temperatur (im Sende-Intervall),1522,maximale Temperatur (im Sende-Intervall)
maximale rel. Luftfeuchte (im Sende-Intervall),1520,maximale rel. Luftfeuchte (im Sende-Intervall)
minimale rel. Luftfeuchte (im Sende-Intervall),1520,maximale rel. Luftfeuchte (im Sende-Intervall)
minimale Beleuchtungsstärke (im Sende-Intervall),1518,maximale Beleuchtungsstärke (im Sende-Intervall)
maximale Beleuchtungsstärke (im Sende-Intervall),1518,maximale Beleuchtungsstärke (im Sende-Intervall)
mainColor,1516,mainColor
MainColor,1516,mainColor
M - PM4 SPS30,1514,M - PM4 SPS30
N - PM4 SPS30,1514,M - PM4 SPS30
lux,1512,Lux
Lux,1512,Lux
luminosity,1510,Luminosity
Luminosity,1510,Luminosity
Lufttemperatur 6 (unten),1507,Lufttemperatur 5 (unten)
Lufttemperatur 5 (unten),1507,Lufttemperatur 5 (unten)
Lufttemperatur 7 (unten),1507,Lufttemperatur 5 (unten)
Lufttemperatur 3 (mitte),1505,Lufttemperatur 3 (mitte)
Lufttemperatur 4 (mitte),1505,Lufttemperatur 3 (mitte)
Lufttemperatur 2-SHT85 Nr.1,1502,Lufttemperatur 2-SHT85 Nr.0
Lufttemperatur 2-SHT85 Nr.0,1502,Lufttemperatur 2-SHT85 Nr.0
Lufttemperatur 2-SHT85 Nr.2,1502,Lufttemperatur 2-SHT85 Nr.0
Lufttemperatur 2 (oben),1499,Lufttemperatur 0 (oben)
Lufttemperatur 0 (oben),1499,Lufttemperatur 0 (oben)
Lufttemperatur 1 (oben),1499,Lufttemperatur 0 (oben)
Luftgüte_01,1497,Luftgüte
Luftgüte,1497,Luftgüte
Luftfeuchtigkeit SHT85_1,1493,Luftfeuchtigkeit SHT85_0
Luftfeuchtigkeit SHT85_3,1493,Luftfeuchtigkeit SHT85_0
Luftfeuchtigkeit SHT85_2,1493,Luftfeuchtigkeit SHT85_0
Luftfeuchtigkeit SHT85_0,1493,Luftfeuchtigkeit SHT85_0
Luftfeuchtigkeit 2-BME680,1491,Luftfeuchtigkeit 2-BME680
Luftfeuchtigkeit bme680,1491,Luftfeuchtigkeit 2-BME680
Luftfeuchtigkeit_04,1484,Luftfeuchtigkeit
Luftfeuchtigkeit_02,1484,Luftfeuchtigkeit
Luftfeuchtigkeit_03,1484,Luftfeuchtigkeit
Luftfeuchtigkeit,1484,Luftfeuchtigkeit
luftfeuchtigkeit,1484,Luftfeuchtigkeit
Luftfeuchtigkeit_05,1484,Luftfeuchtigkeit
Luftfeuchtigkeit_01,1484,Luftfeuchtigkeit
LuftfeuchteSHT_3,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_2,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_0,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_7,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_4,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_5,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_1,1476,LuftfeuchteSHT_0
LuftfeuchteSHT_6,1476,LuftfeuchteSHT_0
rel. Luftfeuchte (Balkon),1474,Luftfeuchte(Balkon)
Luftfeuchte(Balkon),1474,Luftfeuchte(Balkon)
Luftfeuchte Terrasse,1472,Luftfeuchte Terrasse
rel. Luftfeuchte Terrasse,1472,Luftfeuchte Terrasse
rel. Luftfeuchte (BME 280),1467,Luftfeuchte BME
Luftfeuchte BME,1467,Luftfeuchte BME
rel. Luftfeuchte BME,1467,Luftfeuchte BME
Luftfeuchte 6 (unten),1464,Luftfeuchte 5 (unten)
Luftfeuchte 5 (unten),1464,Luftfeuchte 5 (unten)
Luftfeuchte 7 (unten),1464,Luftfeuchte 5 (unten)
Luftfeuchte 4 (mitte),1462,Luftfeuchte 3 (mitte)
Luftfeuchte 3 (mitte),1462,Luftfeuchte 3 (mitte)
Luftfeuchte 2-SHT85 Nr.1,1459,Luftfeuchte 2-SHT85 Nr.0
Luftfeuchte 2-SHT85 Nr.2,1459,Luftfeuchte 2-SHT85 Nr.0
Luftfeuchte 2-SHT85 Nr.0,1459,Luftfeuchte 2-SHT85 Nr.0
Luftfeuchte 2 (oben),1457,Luftfeuchte 1 (oben)
Luftfeuchte 1 (oben),1457,Luftfeuchte 1 (oben)
Luftfeuchte (SHT31),1455,Luftfeuchte (SHT31)
"Luftfeuchte, SHT31",1455,Luftfeuchte (SHT31)
rel. Luftfeuchte (Sensor 2),1453,Luftfeuchte (Sensor 2)
Luftfeuchte (Sensor 2),1453,Luftfeuchte (Sensor 2)
rel. Luftdruck (QFF),1448,Luftdruck QFF
Luftdruck QFF,1448,Luftdruck QFF
Luftdruck abs.,1446,Luftdruck (abs. Pressure)
Luftdruck (abs. Pressure),1446,Luftdruck (abs. Pressure)
Luftdruck (Ciśnienie),1443,Luftdruck ( Ciśnienie )
Luftdruck / Ciśnienie,1443,Luftdruck ( Ciśnienie )
Luftdruck ( Ciśnienie ),1443,Luftdruck ( Ciśnienie )
Luftdruck BME280,1439,Luftdruck  (BME280)
Luftdruck  (BME280),1439,Luftdruck  (BME280)
Luftdruck (BME280),1439,Luftdruck  (BME280)
Luftdruck - BME280,1439,Luftdruck  (BME280)
Luft-Qualität,1437,Luft Qualität
Luft Qualität,1437,Luft Qualität
luchtdruk,1435,Luchtdruk
Luchtdruk,1435,Luchtdruk
loudness,1433,Loudness
Loudness,1433,Loudness
Longitude,1431,longitude
longitude,1431,longitude
lightval,1429,Lightval
Lightval,1429,Lightval
Visible light intensity,1424,Light Intensity
light intensity,1424,Light Intensity
Light Intensity,1424,Light Intensity
Light intensity,1424,Light Intensity
UV-light Intensity,1424,Light Intensity
lichtsensor,1422,Lichtsensor
Lichtsensor,1422,Lichtsensor
LICHT,1420,Licht
Licht,1420,Licht
lautstärke,1416,Lautstärke
Lautstärke (1),1416,Lautstärke
Lautstärke,1416,Lautstärke
Lautstärke (4),1416,Lautstärke
latitude,1414,Latitude
Latitude,1414,Latitude
Lat,1412,lat
lat,1412,lat
LA.min,1410,LA min
LA min,1410,LA min
LA max,1408,LA max
LA.max,1408,LA max
Kupfer C,1406,Kupfer C
Kupfer D,1406,Kupfer C
Kugelventil 1,1403,Kugelventil
Kugelventil 3,1403,Kugelventil
Kugelventil 2,1403,Kugelventil
temperature inside box,1401,Inside box temperature
Inside box temperature,1401,Inside box temperature
SCD30 - Temperature (Inside Box),1401,Inside box temperature
Innenraumluftqualität (IAQ),1399,Innenraumluftqualität (IAQ)
Innenraumluftqualität(IAQ),1399,Innenraumluftqualität (IAQ)
IAQ Accuracy,1397,IAQ accuracy
IAQ accuracy,1397,IAQ accuracy
raw IAQ  (Indoor Air Quality),1395,IAQ (indoor air quality)
IAQ (indoor air quality),1395,IAQ (indoor air quality)
Höhe über NN,1393,Höhe über NN
